,tweet_content,harassment,indirecth,physicalh,sexualh
0,pics mexican school girl naked melanie safka fake nude photos hardcore slut movies alicia moore porn star toon love ,1,0,0,1
1,rt shereiqns having curly hair is a gotdamn chore do not let the internets fool you ok ,0,0,0,0
2, breakingnews 7 unexplained prisoners deaths murder amp 50 attempted suicides samswey shacking sifill ldf ,0,0,0,0
3, girl dirty quarterback latino pokemon young handjob kissing gangbang w x89 t co wrm4xo00vj ,1,0,0,1
4, miliondollameat sexting n ngirl daddy n nme listen bitch gonna watch these what ,1,0,0,1
5, ella939ella vickycornell vickycornell is grieving chris is dead she has kids to care for a mom to support amp s ,0,0,0,0
6, museum slut if you know somewhere we can do it then i am game,1,0,0,1
7,rt sp00kybitchhhh i have spots open sissy slut intox bitch human atm amazon boy do you have what it takes can you live up to my ,1,0,0,1
8, sarahspain pretty sure this one isn t good at doing research amp finding hints amp clues ,0,0,0,0
9,rt nadiaistoocool hi peyt thanks for being my best friend amp biggest pain in the ass you re going to do great things and i m excited to ,0,0,0,0
10, cervantes1127 can x89 t shamer struggle t co ir6vjyuzka ,0,0,0,0
11, venus astrology living standards nit x89 s illusion i x89 m fucking nwaiting waiting wai x89 ,1,0,0,1
12,watched scary while back while scene again brain scare o x89 t co rm8n6iz9qw ,0,0,0,0
13,add me on snapchat and watch me cum coltoe8 sendnudes nude nudes snapchat girls boobs pussy horny ,1,0,0,1
14,rt olesmeha86 he need me to eat his dick because eat dick it s my skill slut ass dick cock jailbait bbc gangbang cuckold ,1,0,0,1
15, drew s sexting show ntripping balls effects nyquil overdose ,0,0,0,0
16, nightmarealt luke redacted okay turn what x89 s alley sexting shitty im x89 t co 81chew1p3b ,0,0,0,0
17,rt tiapogai51 please sleep i will do it for you guy gt register note verify email to send msg to girls slut ,1,0,0,1
18,rt mylifeasmo i really am a slut for friendship i tell ya,0,0,0,0
19,years called horse face sister partner x89 s amp that x89 s prompted the x89 t co tgjdzytwtf ,0,0,0,0
20,rt nsfw bitches imagine your cute little sub on their knees sucking your cock softly they bat their eyes and stop sucking you grab thei ,1,0,0,1
21, multlexo can t bitch t co gwhixgdzx8 ,1,0,0,1
22,neuroloveology the power to mindful love amp sex by ava cadell on bloglovin,0,0,0,0
23, reality prozzie mouth n t co fqb3nyitp1 underage cumshot movies bustyhardcorebabes european girl x89 t co vskctsyqeo ,1,0,0,1
24, paigemcmath you re still slut brain automatically tweet me ,1,0,0,1
25,my point the internet needs chill j messed up but she don t deserve this crazy internet hate kardashian s will f ,0,0,0,0
26,hey bitches rt to be in a kpop gc be a bad bitch dont be problematic dont be sensitive tbz skz and nct stan ,1,0,0,1
27,seriously my favorite fucking concept i cant stop im supposed to be watching alien,0,0,0,0
28,mistake gamergate where helps build career comes pussy bitch shit ,0,0,0,0
29,i prefer guy friends than girl friends im not slut or flirt but i feel more secure when i m with my guy friends feel me hahahaha,1,0,0,1
30, kalysta beaver hoe slut shaming other girls low talking about people ,1,0,0,1
31,rt dw1509 this week s shootaround features 14 drain ava hassel connormullins5 lifeofmablo treyrobertson 4 amp much more ,0,0,0,0
32, patii fittii sassy bitch t co ncxul52z86 ,1,0,0,1
33,allow people to be happy if a dude or a girl decides to be a slut wtf is your problem certainly not your ding dong or cookie jar ,1,0,0,1
34, straight friends amp amp fuck n t co buw5rae0pp aadivasi fucking sucking breast xx x89 t co ponzgj6wis ,1,0,0,1
35,rt computer screen im a whore for my job a big slut for it i love it and i love getting fucked by my trabajo shes sucha bitch thinki ,1,0,0,1
36, tadpoletriplett jeff liebermann sarahspain toddbrommelkamp spainandfitz jasonfitz brah too harsh ,0,0,0,0
37, space bear fighter shownu treat everyone chopped cropped buff looked w x89 ,0,0,0,0
38, perezhilton i knew it and i called it when all you bitches ya ll all said he was a maga victim i knew he was a ,1,0,0,1
39, cupofcancer almightyjoeyy should ready defend myself nidc x89 t co 0icldiudhr ,0,0,0,0
40, femdom unexpected cumshot virgin escort lesbian sisters drunk young anime fuck x89 t co xxw8fr7kk1 ,1,0,0,1
41,nancy amp chuck have done it again watch their rebuttal to the president s false claims of a national emergenc ,0,0,0,0
42,got starbucks this morning amp ava finished my drink ,0,0,0,0
43,one time my friend did this in school while our teacher was discussing she notices her doing that and called her ,0,0,0,0
44,rt blckexcelllence y all a white girl from my school fucked a dog and posted a video of her doin it on her snapchat story ,1,0,0,1
45,check out ava amp viv plus size black open front rayon blend long sleeve cardigan sweater 3x avaviv via ebay,0,0,0,0
46, the world cannot since because denounce it x89 nt co e6jdjjqg5m ,0,0,0,0
47,ava and sylvie wish we knew more about them kevin really wanting to know amp see more of his character with the c ,0,0,0,0
48,when i pop up with a man i don t wanna hear niggas say that s crazy fuck up,0,0,0,0
49,rt shanayirenee people always saying i look mad bitch this my face,0,0,0,0
50, yngmojo niggas supreme shoulder x89 can x89 t don x89 t match fly x89 x9d ,0,0,0,0
51,rt lymperatore weirdobutokay gamtgirl1969 felonious munk exactly imagine if when a girl compliments me i d say yooo what i m not ,0,0,0,0
52, lesbians tribbing latinas porno celebrity fucking uncensored hentai first ce x89 t co 964xmpddzx ,1,0,0,1
53,this is why brendatracy24 s story amp work are so important there are people out there who will refuse to believe a ,0,0,0,0
54, zero still stronger x89 nigger stupid waifu headlock t co hfmeplxudu ,0,0,0,0
55, taimoorbaig162 dicks chopped public these innocent child ,0,0,0,0
56, i x89 ve opened accepted bitch friendly little whore can x89 t i x89 t co jnwaqf6dhy ,0,0,0,0
57,you would like that uh babygirl your moans and your whines echoing in the bathroom as i finger you in the shower ,1,0,0,1
58,rt lking20569301 charliekirk11 this kampala harris she really believes that she has a chance because she is a woman blackish and a slut ,1,0,0,1
59,rt ilovechronicbud do you ever get mad at the munchies i ll be overstuffed and bitching that slut little debbie is always seducing me ,1,0,0,1
60, spectatortm time bumper sticker slut life the x89 t co oejihw7wwm ,1,0,0,1
61, baddknews nigga can x89 t nomo gettin chopped ,1,0,0,1
62,rt tany vander fucking my wife fuck my ass xxx forced sex videos xnxx com anulingus xxx p xxx porn anulingus xxx porno video hd mob ,1,0,0,1
63,ava devine u bitch ass slut where da fuck is my fuckin money u god damn fuckin bitch,1,0,0,1
64,meet laura steven screenwriter journalist amp author of the exact opposite of ok the hilarious but honest look a ,0,0,0,0
65,rt fuckitupanj alxdavilaa dis was ava ,0,0,0,0
66,christina christina christinas gone ya little tramp didn t leave any money to pay her so she left like a ,0,0,0,0
67, got another night getting absolutely mortal planned gonna dance socks fishnets depend x89 t co 14fq7ghnnh ,0,0,0,0
68,rt hinaholics pak one of most hilarious moment of bb11 when biggboss scolded eyehinakhan amp benafshasoona for talking in english glorio ,0,0,0,0
69, especially you x89 re shames other girls ,0,0,0,0
70, deepthroat cumshot perfect boobs jewish indian pussy naked lesbians japanese beaut x89 t co gfwxstn2fk ,1,0,1,0
71,babes i m online on sparkleee19 chaturbate schoolgirl stockings sissy dildo ,0,0,0,0
72,rt nctcandles is it ever okay to use gay as an insult ex i hate that teacher so fucking much shes so gay like yes rt no tryna ,1,0,0,1
73, askmf why y all so triggered with korean ava lmao i use bobby as my avatar amp never for a second tweet anything re ,0,0,0,0
74, joshtpm ava i ll say again the gov t shutdown is the master plan devised by russia amp trump to topple the u s th ,0,0,0,0
75,rt phoebe sandberg if you don t know my brother is a huge disney fan amp hasn t been in years excited seems to be an understatement ht ,0,0,0,0
76,my bitch think we breaking up lmao stupid slut ill kill you ttyl i love you,1,0,0,1
77, me danie n nesra listen bastard through jonah yours filthy waste space wh x89 t co emyu0ytwpu ,0,0,0,0
78, briannawu this doesn t fucking matter at all ,0,0,0,0
79,rt aspenkohl just retweet if this was your brother or your best friend you would want people to rt amp help so just do it ht ,0,0,0,0
