tweet_content,harassment,indirecth,physicalh,sexualh
is it wrong what about mezcal,0,0,0,0
is mkr on texts the sound you make with incakamisa yolwimi when youre disagreeing with something or just observing,0,0,0,0
is on now go girl bre,0,0,0,0
is only beaten by on anzac day eve k share which,0,0,0,0
is that a bowl cut on that chick,0,0,0,0
is that one of his ridiculously fat and complex ones i loved necronomicon but then picked,0,0,0,0
is the perfect entree to s huge weekend of footy assuming court and duncan ever plate up dessert,0,0,0,0
is the third most followed indian celeb on s list his birthday selfie with son abram got a wh,0,0,0,0
is this a new series love mkr,0,0,0,0
is up for rookie of the week vote rt to help him win the honor for the th straig,0,0,0,0
island porn videos images of a friend haveing sex with a girls sister,1,0,0,1
israel has an appetite for seven studio has confirmed that the format has been commissioned,0,0,0,0
iss is directly overhead and moving fast but i can see it,0,0,0,0
isu grand prix of figure skating final aichi nagoya japan boyang jin wd,0,0,0,0
it aint me sweetie im so sorry im so sorry that a ugly ass bitch like this would even say that oh my god,1,0,0,1
it dept begins confiscation of illegal assets of sreevalsam,0,0,0,0
it does matter because teams like faze and echo fox could match up with each other in like round,0,0,0,0
it is getting better we just released a public vuln disclosure policy,0,0,0,0
it is hard to believe that the disney films are what is causing young girls and boys to act in a stereotypical,0,0,0,0
it is i gotta watch season now,0,0,0,0
it is not being dramatic but girls get jealous easily,1,0,0,1
it is time to open our minds and hearts not just the arms launches on th dec pm on ht,0,0,0,0
it looked like a lot of fun,0,0,0,0
it never gets easier you just get stronger,0,0,0,0
it seems to me that people from wa are up their own asses,0,0,0,0
it was a pleasure having priyanka and the adorable gracia over for lunch today have a good on,0,0,0,0
it was such a nice day out today nice and quiet the roads were clear mustve been,0,0,0,0
its a cooking show not a cat fight,0,0,0,0
its a lifesaver tbh damn addictions,1,0,0,1
its a pretty solid playlist actually a nice change of pace from my discover weekly which only seems t,0,0,0,0
its an all maroon final go qld,0,0,0,0
its dumb how every contestant says that they dont know where they r going in cmbk kitchen as of they really dont kno,1,0,1,0
its est on friday december and im glad youre alive,0,0,0,0
its est on monday december and im glad youre alive,0,0,0,0
its est on monday november and im glad youre alive,0,0,0,0
its est on saturday december and im glad youre alive,0,0,0,0
its est on sunday december and im glad youre alive,0,0,0,0
its est on thursday november and im glad youre alive,0,0,0,0
its est on tuesday december and im glad youre alive,0,0,0,0
its est on tuesday november and im glad youre alive,0,0,0,0
its est on wednesday december and im glad youre alive,0,0,0,0
its est on wednesday november and im glad youre alive,0,0,0,0
its fun and feels a little judgmental on spotifys part,0,0,0,0
its going to be so close,0,0,0,0
its hard to find a good woman nowadays though when you do its impossible to find a man as good,0,0,0,0
its hard to read all these horrible comments about my cousin on,0,0,0,0
its his own dang fault theres confusion,0,0,0,0
its just an example man youre missing the point what about team canada royalty goon tic proto,0,0,0,0
its known as mkrgive them each to design the per fect home kitchen,0,0,0,0
its less of and more of a day without feminists which to be quite honest sounds lovely,1,0,0,1
its looks great but that isnt the kind of lasagne i remember,0,0,0,0
its melting because you didnt put it in the freezer before you served it you dumb skank,0,0,0,0
its neck and neck at the moment itll take something special to bring this home good luck both teams,1,0,0,1
its obvious that there are still issues and that people have eerienced them all,0,0,0,0
its okay fellas it will be okay i feel sorry for thor,0,0,0,0
its okay just had to reply and connect the new baby thread to the big monster one were okay its okay,0,0,0,0
its one thing to be critical amp be able to cook amy amp tyson but to be critical amp not be able to cook is just embarrassing ampamy,0,0,0,0
its really sad u think groups being so rude to each other is good showing no wonder the playground is full of bul,1,0,0,1
its ribs use ur hands to eat it,0,0,0,0
its that time of the year again,0,0,0,0
its time to show the world what a woman can do women can change the world superb video i loved it,0,0,0,0
its time today movies fan from pm on maxhd kkhh from pm on rishtey cineplexhd,0,0,0,0
its too many pretty girls that know how to treat a nigga to be stressing bout who clueless,0,0,0,0
its weird to think of light as radiation some radiation can pass through you weird looking at an ir night vision camera and,0,0,0,0
it s a complicated topic the preface to any contracts i,0,0,0,0
it s almost like they re not supposed to be kept in chlorine filled tanks,0,0,0,0
it s even worse with a father like mine ingathi ndizizele sana mkr,0,0,0,0
it s funny my mum was in the loop when i was as young as during set times i wasn t to be disturbed bloody legend she is,0,0,0,0
it s not even about the bitch it s the fact that yo suppose to be my mans that s some goofy ass shit,1,0,0,1
it s part of their master plan,0,0,0,0
it s sad when females think we re in competition bitch i don t care about u,1,0,0,1
it s so fucking weird how girls can just tell when our periods start like the exact fucking moment you re just sitting in,0,0,0,0
it s so fucking weird how girls can just tell when our periods start like the exact fucking moment you re just sitting i,0,0,0,0
it s travel day ladies and gentlemen bne dallas fw first international trip every for me and should be great,0,0,0,0
ive been bullied at a time of vulnerability,1,0,0,1
ive been debating you want root but its a little cringey for me,0,0,0,0
ive been waiting for someone to reply with that lmao,1,0,0,1
ive read about sex but im pretty sure its been debunked as a weather balloon,1,0,0,1
ive seen this old anim reposted tons of timesevery time ive wanted to redo it a little rough but heres a red,1,0,0,1
iyaz replay was my childhood he did that,0,0,0,0
i d love your guys opinion on makerdao and basecoin imo mkr is too high now if you look at,1,0,0,1
i ll never understand why pretty girls let below average guys treat them like shit,1,1,0,0
i m always weird to a bitch that s not on my level,1,0,0,1
i m only good about keeping up with one piece and podcasts,0,0,0,0
i m real excited about her beer garden opening up on charles st soon too,0,0,0,0
i m thankful for my mother who was tough as nails amp meant so much amp for my wife jane who has been by my side for over,0,0,0,0
i m thankful that i get to see alex rian and zack naked all the time their hard bodies continue to amaze me,0,0,0,0
i ve been looking for this for a year thank you,0,0,0,0
i ve read about the decryption time taking hours issue on github but haven t,0,0,0,0
i ve seen the same type of play before some years back against the same team lol,0,0,0,0
jahlil okafor is asking for buyout from ers this really sucks i want to play ball via,0,0,0,0
jajaja girls get freaked out by that,0,0,0,0
jake and elle im so proud of you guys,0,0,0,0
jake paul s album has ruined christmas,0,0,0,0
jaleek in before seventh then berry come back get that degree seventh,0,0,0,0
james harden pts pts on fg in the st quarter rebs asts stls blks vs nets,0,0,0,0
japanese adult video tube hot anime girls in thongs sex pictures,1,0,0,1
jay z shot his brother amp sold crack to his mom you think he gave a fuck about a lil cheating,1,0,0,1
jenna needs to stop crying and prove she is a desert queen,0,0,0,0
jess and emma my new victims buckle up twats,0,0,0,0
jessica lives off air or peoples souls,1,0,0,1
jessie amp biswa we know what youre up to,0,0,0,0
jimin is so endeared w taehyung,0,0,0,0
joanna and jenna are just gorgeous,0,0,0,0
joanna pisses me off almost but i seriously love that bitch,1,0,0,1
